Date,Site ID,Call Setup Success Rate ,CSFB Preparation Success Rate,DL Traffic In GB,UL Traffic In GB,Total Traffic in GB,Average User Throughput in DownLink In Mbps,Average User Throughput in UpLink In Mbps,Average DL PDCP Throughput In Mbps,Average UL PDCP Throughput In Mbps,PS Drop Call Rate,Average Number of Users in a Cell,Intra Frequency HOSR,Inter Frequency HOSR,Cell_Availability,DL BLER ,DL PRB Utilization ,UL PRB Utilization 
01-11-2025,Site_1,99.78398485,99.93803116,818.430367,108.0761783,926.5065453,12.48728735,0.44711652,13.08095597,1.447716039,0.149547511,17.37965278,98.25527305,99.609395,100,8.287584924,32.60256295,18.31834567
01-11-2025,Site_2,99.85541602,99.76624016,836.5843705,95.33123255,931.915603,16.6690203,0.495499609,15.26308706,1.527885716,0.143917229,15.3991821,99.00644396,99.10432296,100,7.185239187,33.38621494,15.73737245
01-11-2025,Site_3,99.80625248,99.9050733,631.4274408,82.34271348,713.7701542,14.09692362,0.506899578,12.98770222,1.426992893,0.166527328,13.97668981,98.93788177,99.50643012,100,8.189409722,28.66999918,16.28596997
01-11-2025,Site_4,99.73681927,99.77762953,485.4049599,72.91675818,558.3217181,8.449398956,0.659664537,13.72181815,1.820610012,0.119884734,13.4617284,99.06059804,99.28845685,100,7.358748452,31.74793277,14.43492081
01-11-2025,Site_5,99.775766,99.78514426,459.3758379,72.92896748,532.3048054,14.91518215,0.998062251,15.5487081,2.507230977,0.092939931,25.21185378,98.54745265,99.21325545,100,6.298747757,31.52230194,14.12391362
02-11-2025,Site_3,99.82885402,99.96564361,525.7270229,77.42470694,603.1517298,17.39492587,0.646075175,12.68781889,1.634956299,0.120294018,12.03179784,99.47259776,99.44618685,100,7.564384371,26.41621137,15.55976539
02-11-2025,Site_1,99.80052199,99.97044626,731.2229736,98.63825989,829.8612335,15.69063195,0.494563806,12.92862797,1.467299182,0.126348885,15.62570988,99.0343607,99.76235259,100,8.328192287,30.65757013,17.99647223
02-11-2025,Site_5,99.74953813,99.68952484,498.7128927,83.45003545,582.1629281,16.48237747,1.109246676,15.31971357,2.542963579,0.088906062,26.93917824,98.7600695,99.52880377,100,6.245859643,33.13811867,15.76666242
02-11-2025,Site_4,99.70122744,99.98977401,436.5503738,71.76691449,508.3172883,12.3056996,0.724364449,12.06998039,1.720193258,0.110899595,13.56416377,99.0918686,99.23521858,100,7.072462205,28.27786416,14.13512808
02-11-2025,Site_2,99.84922007,99.15708812,719.0679033,93.21324027,812.2811435,19.00007177,0.578031004,14.41496134,1.640691515,0.125988202,14.31497299,98.95755867,99.7923467,100,6.946354968,29.7666775,15.74271081
03-11-2025,Site_4,99.78476278,99.9782939,411.9248538,65.14920318,477.074057,14.18230052,0.644665644,12.33301947,1.728884611,0.122672553,12.62497106,99.10005619,99.30152854,100,6.686463288,27.92136875,13.87973718
03-11-2025,Site_1,99.70879942,99.96998499,733.3001454,96.2025665,829.5027119,14.94973195,0.333799879,12.56371182,1.342332896,0.163004475,16.03827546,99.1155295,99.35193772,100,8.452782233,30.14393898,18.08907221
